model,looic,looic_se,p_loo,pareto_k_over_0_7,participant_intercept_sd,item_intercept_sd,error_type_intercept_sd
glmm_informed,2980.658522555776,48.60773457984,547.9329480155611,7,1.12797480475,1.65311839,0.3035590438535
generic_weak,2988.3207089829384,49.272182573930834,555.689513167707,11,1.14861502575,1.65768258,0.31830184385475
